Fill in these cells only,,,,,Jump number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Adjust  the report to the number of jumps and steps for each individual athlete,,,,,"Height and if cleared (e.g. 2.19 O, 2.24 XO)",1.86 X,1.86 XO,1.90 X,1.90 XO,1.93 O,1.96 X,1.96 XX,1.96 XXO,1.99 X,1.99 XX,1.99 XXX,,,,
,,,,,Height (2.19),1.86,1.86,1.9,1.9,1.93,1.96,1.96,1.96,1.99,1.99,1.99,,,,
Competition Name:,Wellington Capital Classic,,,,Cleared,N,Y,N,Y,Y,N,N,Y,N,N,N,,,,
Competition Date (dd/mm/yyyy):,43890,,,,No. Foot Contact / Toe-Off,Foot Contact / Toe-Off Timing,,,,,,,,,,,,,,
Location:,Wellington (New Zealand),,,,Foot Plant 1,0,0,0,0,0,0,0,0,0,0,0,,,,
Athlete Name:,"McDermott, N",,,,Foot Plant 2,1.16,1.195555556,1.16,1.16,1.26,1.24,1.16,1.18,1.18,1.22,1.2,,,,
Entry Height:,1.86 m,,,,Foot Plant 3,2.18,2.162222222,2.18,2.12,2.24,2.14,2.12,2.21,2.1,2.19,2.16,,,,
Best Clearance Height:,1.99 m,,,,Foot Plant 4,3.14,3.051111111,3.1,3.04,3.14,3.1,3,2.92,3,3.06,3.1,,,,
Number of Jumps:,11,,,,Foot Plant 5,3.9,3.751111111,3.8,3.72,3.88,3.78,3.7,3.62,3.72,3.76,3.78,,,,
Number Steps in Run Up,10,,,,Foot Plant 6,4.66,4.51,4.52,4.48,4.61,4.5,4.44,4.32,4.44,4.46,4.52,,,,
,,,,,Foot Plant 7,5.3,5.19,5.18,5.11,5.26,5.13,5.07,5,5.1,5.11,5.16,,,,
,,,,,Foot Plant 8,5.84,5.75,5.76,5.68,5.8,5.7,5.7,5.58,5.71,5.68,5.72,,,,
Calculate contact and phase timings,,,,,3rd Last Contact Toe-Off Time,6.15,6.06,6.07,5.98,6.1,6.02,6,5.88,6,5.97,6.02,,,,
Camera Frame Rate (Hz),Conversion Factor,,,,Foot Plant 9,6.48,6.37,6.4,6.28,6.42,6.33,6.32,6.21,6.34,6.29,6.32,,,,
100,2,,,,2nd Last Contact Toe-Off Time,6.78,6.65,6.68,6.56,6.68,6.64,6.61,6.48,6.61,6.56,6.6,,,,
,50,,,,Take- Off Plant,6.84,6.73,6.78,6.64,6.78,6.74,6.7,6.56,6.76,6.66,6.68,,,,
,,,,,Take-Off Contact Toe-Off Time,7.2,7.1,7.13,7,7.15,7.08,7.08,6.93,7.13,7,7.05,,,,
