Fill in these cells only,,,,,Jump number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Adjust  the report to the number of jumps and steps for each individual athlete,,,,,"Height and if cleared (e.g. 2.19 O, 2.24 XO)",2.12 O,2.16 O,2.20 X,2.20 XX,2.20 XXX,,,,,,,,,,
,,,,,Height (2.19),2.12,2.16,2.2,2.2,2.2,,,,,,,,,,
Competition Name:,Sydney TrackClassic,,,,Cleared,Y,Y,N,N,N,,,,,,,,,,
Competition Date (dd/mm/yyyy):,43883,,,,No. Foot Contact / Toe-Off,Foot Contact / Toe-Off Timing,,,,,,,,,,,,,,
Location:,Sydney,,,,Foot Plant 1,0,0,0,0,0,,,,,,,,,,
Athlete Name:,"Baden, J",,,,Foot Plant 2,0.68,0.68,0.68,0.68,0.66,,,,,,,,,,
Entry Height:,2.12 m,,,,Foot Plant 3,1.55,1.54,1.57,1.54,1.56,,,,,  ,,,,,
Best Clearance Height:,2.16 m,,,,Foot Plant 4,2.37,2.36,2.38,2.38,2.37,,,,,,,,,,
Number of Jumps:,5,,,,Foot Plant 5,3.14,3.16,3.18,3.18,3.18,,,,,,,,,,
Number Steps in Run Up,11,,,,Foot Plant 6,3.94,3.96,3.94,3.96,3.98,,,,,,,,,,
,,,,,Foot Plant 7,4.7,4.74,4.78,4.72,4.78,,,,,,,,,,
,,,,,Foot Plant 8,5.49,5.58,5.56,5.51,5.54,,,,,,,,,,
Calculate contact and phase timings,,,,,Foot Plant 9,5.98,6.04,6.02,5.98,6.02,,,,,,,,,,
Camera Frame Rate (Hz),Conversion Factor,,,,3rd Last Contact Toe-Off Time,6.29,6.34,6.32,6.28,6.3,,,,,,,,,,
100,2,,,,Foot Plant 10,6.56,6.6,6.61,6.5,6.56,,,,,,,,,,
,50,,,,2nd Last Contact Toe-Off Time,6.86,6.89,6.89,6.82,6.84,,,,,,,,,,
,,,,,Take- Off Plant,6.96,7,6.97,6.94,6.94,,,,,,,,,,
,,,,,Take-Off Contact Toe-Off Time,7.27,7.3,7.28,7.26,7.26,,,,,,,,,,
