Fill in these cells only,,,,,Jump number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Adjust  the report to the number of jumps and steps for each individual athlete,,,,,"Height and if cleared (e.g. 2.19 O, 2.24 XO)",2.07 O,2.16 X,2.16 XO,2.20 X,2.20 XX,2.20 XXX,,,,,,,,,
,,,,,Height (2.19),2.07,2.16,2.16,2.2,2.2,2.2,,,,,,,,,
Competition Name:,Sydney Track Classic,,,,Cleared,Y,N,Y,N,N,N,,,,,,,,,
Competition Date (dd/mm/yyyy):,43883,,,,No. Foot Contact / Toe-Off,Foot Contact / Toe-Off Timing,,,,,,,,,,,,,,
Location:,Sydney,,,,Foot Plant 1,0,0,0,0,0,0,,,,,,,,,
Athlete Name:,"Miers, O",,,,Foot Plant 2,0.78,0.8,0.8,0.8,0.78,0.8,,,,,,,,,
Entry Height:,2.05,,,,Foot Plant 3,1.64,1.6,1.6,1.56,1.57,1.56,,,,,,,,,
Best Clearance Height:,2.16,,,,Foot Plant 4,2.4,2.36,2.36,2.34,2.3,2.3,,,,,,,,,
Number of Jumps:,6,,,,Foot Plant 5,3.08,3.04,3.02,3.02,2.94,2.96,,,,,,,,,
Number Steps in Run Up,12,,,,Foot Plant 6,3.72,3.71,3.66,3.66,3.6,3.58,,,,,,,,,
,,,,,Foot Plant 7,4.3,4.28,4.22,4.22,4.15,4.16,,,,,,,,,
,,,,,Foot Plant 8,4.82,4.8,4.74,4.75,4.68,4.7,,,,,,,,,
Calculate contact and phase timings,,,,,Foot Plant 9,5.32,5.3,5.2,5.24,5.16,5.17,,,,,,,,,
Camera Frame Rate (Hz),Conversion Factor,,,,Foot Plant 10,5.75,5.72,5.66,5.7,5.62,5.63,,,,,,,,,
100,2,,,,3rd Last Contact Toe-Off Time,6.02,6.01,5.96,5.98,5.91,5.92,,,,,,,,,
,50,,,,Foot Plant 11,6.2,6.2,6.12,6.16,6.1,6.1,,,,,,,,,
,,,,,2nd Last Contact Toe-Off Time,6.51,6.52,6.46,6.48,6.42,6.42,,,,,,,,,
,,,,,Take- Off Plant,6.6,6.6,6.53,6.55,6.5,6.52,,,,,,,,,
,,,,,Take-Off Contact Toe-Off Time,6.9,6.93,6.82,6.86,6.82,6.81,,,,,,,,,
